Book,Film
"The Great Train Robbery (1975), Michael Crichton",The First Great Train Robbery (1979)
"The Great West That Was (1900s), William ""Buffalo Bill"" Cody",The Indians are Coming (1930) (serial)Rustlers of Red Dog (1935) (serial)
"Green for Danger (1944), Christianna Brand",Green for Danger (1946)
"Green Mansions (1904), William Henry Hudson",Green Mansions (1959)
"The Green Mile (1996) (serial/novel), Stephen King",The Green Mile (1999)
"The Green Years (1944), A. J. Cronin",The Green Years (1946)
"The Greengage Summer (1958), Rumer Godden",The Greengage Summer (1961)
"Grendel (1971), John Gardner",Grendel Grendel Grendel (1981)
"The Grifters (1963), Jim Thompson",The Grifters (1990)
"The Grizzly King (1916), James Oliver Curwood",L'Ours (The Bear) (1988)
"Gros câlin (1974), (as Émile Ajar)",Gros câlin (1979)
"The Grotesque (1989), Patrick McGrath","The Grotesque (1995) (a. k. a. Grave Indiscretion, Gentlemen Don't Eat Poets)"
"The Group (1963), Mary McCarthy",The Group (1966)
"Gruesome School (1991–2006) (series), Paul van Loon",Gruesome School Trip (2005)
"La Guerre des boutons (The War of the Buttons) (1912), Louis Pergaud",War of the Buttons (La Guerre des boutons) (1962)War of the Buttons (1994)
"The Guilty Head (1969), Romain Gary",Les faussaires (1994)
"Gulliver's Travels (1726), Jonathan Swift",Le Voyage de Gulliver à Lilliput et chez les géants (1902)The New Gulliver (1935)Gulliver's Travels (1939)The Three Worlds of Gulliver (1960)Gulliver's Travels Beyond the Moon (1965)Gulliver's Travels (1977)Gulliver's Travels (1996) (TV) (mini)Gulliver's Travels (2010)
"The Guns of Navarone (1957), Alistair MacLean",The Guns of Navarone (1961)
"Guns of the Timberland (1955), Louis L'Amour",Guns of the Timberland (1960)
"The Gypsy Moths (1955), James William Drought (as James Drought)",The Gypsy Moths (1969)
"H.M. Pulham, Esquire (1942), John P. Marquand","H.M. Pulham, Esq. (1941)"
"Hababam Sınıfı (1975), Rifat Ilgaz",Hababam Sınıfı (1975)
"A Hall of Mirrors (1967), Robert Stone",WUSA (1970)
"The Hamlet (1940), William Faulkner","The Long, Hot Summer (1958)"
"Hammers Over the Anvil (1952), Alan Marshall",Hammers Over the Anvil (1991)
"The Handmaid's Tale (1985), Margaret Atwood",The Handmaid's Tale (1990)
"Hannibal (1999), Thomas Harris",Hannibal (2001)
"Happy Land (1943), MacKinlay Kantor",Happy Land (1943)
"Al-Haram (The Forbidden) (1961), Yusuf Idris",Al Haram (1965)
"The Harder They Fall (1946), Budd Schulberg",The Harder They Fall (1956)
"Harry Black (1956), David Walker",Harry Black (1958)
"Harry Potter (1997–2007) (series), J. K. RowlingHarry Potter and the Philosopher's Stone (1997)* Harry Potter and the Chamber of Secrets (1998)** Harry Potter and the Prisoner of Azkaban (1999)** * Harry Potter and the Goblet of Fire (2000)** **  Harry Potter and the Order of the Phoenix (2003)** ** * Harry Potter and the Half-Blood Prince (2005)** ** ** Harry Potter and the Deathly Hallows (2007)",Harry Potter (2001–2011) (series)Harry Potter and the Philosopher's Stone (2001)* Harry Potter and the Chamber of Secrets (2002)** Harry Potter and the Prisoner of Azkaban (2004)** * Harry Potter and the Goblet of Fire (2005)** ** Harry Potter and the Order of the Phoenix (2007)** ** * Harry Potter and the Half-Blood Prince (2009)** ** ** Harry Potter and the Deathly Hallows – Part 1 (2010)** ** ** Harry Potter and the Deathly Hallows – Part 2 (2011)
"Hart's War (1999), John Katzenbach",Hart's War (2002)
"The Harvest (1950), Galina Nikolayeva",The Return of Vasili Bortnikov (1953)
"The Harvey Girls (1942), Samuel Hopkins Adams",The Harvey Girls (1946)
"Hating Alison Ashley (1984), Robin Klein",Hating Alison Ashley (2005)
"Hatter's Castle (1931), A. J. Cronin",Hatter's Castle (1942)
"Haunted Harbor (1944), Ewart Adamson (as Dayle Douglas)",Haunted Harbor (1944)
"The Haunting of Hill House (1959), Shirley Jackson",The Haunting (1963)The Haunting (1999)
"Hawaii (1959), James A. Michener",Hawaii (1966)* The Hawaiians (1970)
"Hawk of the Wilderness (1933), William L. Chester",Hawk of the Wilderness (1938)
"He Ran All the Way (1948), Sam Ross",He Ran All the Way (1951)
"Header (1995), Edward Lee",Header (2006)
"Headhunters (2001), Jules Bass",Monte Carlo (2011)
"The Heart of the Matter (1948), Graham Greene",The Heart of the Matter (1953)The Heart of the Matter (1983) (TV)
"The Heaven Sword and Dragon Saber (1961), Jin Yong",Story of the Sword and the Sabre (1963–1965)Heaven Sword and Dragon Sabre (1978)The Hidden Power of the Dragon Sabre (1984)Kung Fu Cult Master (1993)
"Heidi (1880), Johanna Spyri",Heidi (1937)Heidi (1952)* Heidi and Peter (1955)Heidi (1959)Heidi (1968) (TV)The Story of Heidi (1974) (TV)Heidi's Song (1982)Heidi (1993) (mini)Heidi (1996)Heidi (2005) (animated feature film produced by Nelvana)Heidi (2005) (live-action film directed by Paul Marcus)Heidi 4 Paws (2008)
"Hell House (1971), Richard Matheson",The Legend of Hell House (1973)
"The Hellbound Heart (1986), Clive Barker",Hellraiser (1987)
"Heller with a Gun (1954), Louis L'Amour",Heller in Pink Tights (1960)
"The Help (2009), Kathryn Stockett",The Help (2011)
"The Heritage of the Desert (1910), Zane Grey",Heritage of the Desert (1924)Heritage of the Desert (1932)Heritage of the Desert (1939)
"The High and the Mighty (1953), Ernest K. Gann",The High and the Mighty (1954)
"High Fidelity (1995), Nick Hornby",High Fidelity (2000)
"The History of Mr. Polly (1910), H. G. Wells",The History of Mr. Polly (1949)
"The History of Tom Jones, a Foundling (1749), Henry Fielding","Tom Jones (1917)Tom Jones (1963)The Bawdy Adventures of Tom Jones (1976)Tom Jones (1996) (TV)The History of Tom Jones, a Foundling  (1997) (TV)"
"A History of Violence (1997), John Wagner",A History of Violence (2005)
"The Hitchhiker's Guide to the Galaxy (1979), Douglas Adams",The Hitchhiker's Guide to the Galaxy (2004)
"The Hobbit (1937), J. R. R. Tolkien",The Hobbit (1977) (TV)The Hobbit (2012–2014) (series)The Hobbit: An Unexpected Journey (2012)* The Hobbit: The Desolation of Smaug (2013)* The Hobbit: The Battle of the Five Armies (2014)
"The Holcroft Covenant (1978), Robert Ludlum",The Holcroft Covenant (1985)
"The Holy Innocents (1988), Gilbert Adair",The Dreamers (2003)
"Hombre (1961), Elmore Leonard",Hombre (1967)
"The Home and the World (The Home and the World) (a.k.a. ঘরে বাইরে  lit. At Home and Outside) (1916), Rabindranath Tagore",Ghare Baire (1984)
"The Honorary Consul (1973), Graham Greene",The Honorary Consul (1983)
"Hopalong Cassidy (1906–1941) (series), Clarence E. Mulford",Hopalong Cassidy (1935–1938) (series)
"Horrid Henry (1994–2011) (series), Francesca Simon",Horrid Henry: The Movie (2011)
"Horseman, Pass By (1961), Larry McMurtry",Hud (1963)
"The Host (2008), Stephenie Meyer",The Host (2013)
"The Hot Rock (1970), Donald E. Westlake",The Hot Rock (1972)
"The Hound of the Baskervilles (1901–1902) (serial), (1902) (novel), Arthur Conan Doyle",The Hound of the Baskervilles (1921)The Hound of the Baskervilles (1932)The Hound of the Baskervilles (1937)The Hound of the Baskervilles (1939)The Hound of the Baskervilles (1959)Bees Saal Baad (1962)The Hound of the Baskervilles (1978)The Hound of the Baskervilles (1981)The Hound of the Baskervilles (2000) (TV)The Hound of the Baskervilles (2002) (TV)
"The Hound of Florence (1923), Felix Salten",The Shaggy Dog (1959)* The Shaggy D.A. (1976)** The Return of the Shaggy Dog (1987) (TV)The Shaggy Dog (1994) (TV)The Shaggy Dog (2006)
"The Hour Before Dawn (1942), W. Somerset Maugham",The Hour Before the Dawn (1944)
"The Hours (1998), Michael Cunningham",The Hours (2002)
"How Green Was My Valley (1939), Richard Llewellyn",How Green Was My Valley (1941)
"Howards End (1910), E. M. Forster",Howards End (1992)
"The Howling (1977), Gary Brandner",The Howling (1981)Howling II: Stirba - Werewolf Bitch (1985)Howling III (1987)Howling IV: The Original Nightmare (1988)Howling V: The Rebirth (1990)Howling VI: The Freaks (1992)Howling: New Moon Rising (1994)
"The Human Stain (2000), Philip Roth",The Human Stain (2003)
"The Hunchback of Notre-Dame (Notre-Dame de Paris (""Our Lady of Paris"") ) (1831), Victor Hugo",Esmeralda (1905)The Hunchback of Notre Dame (1911)The Darling of Paris (1917)Esmeralda (1922)The Hunchback of Notre Dame (1923)The Hunchback of Notre Dame (1939)The Hunchback of Notre Dame (1956)The Hunchback of Notre Dame (1966) (TV)Kubra Aashiq (1973)The Hunchback of Notre Dame (1977) (TV)The Hunchback of Notre Dame (1982) (TV)The Hunchback of Notre Dame (1986) (TV)The Hunchback of Notre Dame (1996)* The Hunchback of Notre Dame II (2002)The Hunchback (1997)Quasimodo d'El Paris (1999)
"The Hundred and One Dalmatians (1956), Dodie Smith",One Hundred and One Dalmatians (1961)* 101 Dalmatians II: Patch's London Adventure (2003)101 Dalmatians (1996)* 102 Dalmatians (2000)
"The Hunger Games Trilogy (2008–2010) (series), Suzanne CollinsThe Hunger Games (2008)* Catching Fire (2009)** Mockingjay (2010)",The Hunger Games film series (2012–2015) (series)The Hunger Games (2012)* The Hunger Games: Catching Fire (2013)** The Hunger Games: Mockingjay – Part 1 (2014)** * The Hunger Games: Mockingjay – Part 2 (2015)
"The Hunt for Red October (1984), Tom Clancy",The Hunt for Red October (1990)
"The Hunter (1962), Donald E. Westlake (as Richard Stark)",Point Blank (1967)Payback (1999)Full Contact (2003)
"The Hustler (1959), Walter Tevis",The Hustler (1961)
"I Am Legend (1954), Richard Matheson",The Last Man on Earth (1964)The Omega Man (1971)I Am Legend (2007)I Am Ωmega (2007)
"I Am Number Four (2010), Pittacus Lore",I Am Number Four (2011)
"I Know What You Did Last Summer (1973), Lois Duncan",I Know What You Did Last Summer (1997)* I Still Know What You Did Last Summer (2000)** I'll Always Know What You Did Last Summer (2006) (V)
"I Love You, Beth Cooper (2007), Larry Doyle","I Love You, Beth Cooper (2009)"
"Ice Station Zebra (1963), Alistair MacLean",Ice Station Zebra (1968)
"If I Die Before I Wake (1938), Sherwood King",The Lady from Shanghai (1947)
"The IPCRESS File (1962), Len Deighton",The Ipcress File (1965)
"The Illustrated Man (1951), Ray Bradbury",The Illustrated Man (1968)
"Im Westen Nichts Neues (All Quiet on the Western Front) (1929), Erich Maria Remarque",All Quiet on the Western Front (1930)* The Road Back (1937)All Quiet on the Western Front (1979) (TV)
"Imagining Argentina (1987), Lawrence Thornton",Imagining Argentina (2003)
"Immortality, Inc. (1959), Robert Sheckley",Freejack (1992)
"An Imperfect Lover (1928), Robert Gore-Browne",Cynara (1932)
"In Country (1985), Bobbie Ann Mason",In Country (1989)
"The Incredible Journey (1961), Sheila Burnford",The Incredible Journey (1963)Homeward Bound: The Incredible Journey (1993)* Homeward Bound II: Lost in San Francisco (1996)
"Incubus (1976), Ray Russell",The Incubus (1981)
"Indian Country (1953), Dorothy M. Johnson",A Man Called Horse (1970)* The Return of a Man Called Horse (1976)** Triumphs of a Man Called Horse (1983)
"The Innocent (1990), Ian McEwan",The Innocent (1993)
"In Search of the Castaways (The Children of Captain Grant) (1867–1868) (serial), (1873) (novel), Jules Verne","Дети капитана Гранта (Deti kapitana Granta, Captain Grant's Children) (1936)In Search of the Castaways (1962)V poiskakh kapitana Granta (1985) (TV)"
"Instruct My Sorrows (1942), Clare Jaynes",My Reputation (1946)
"Interview with the Vampire (1976), Anne Rice",Interview with the Vampire (1994)
"The Investigation (1977), Dorothy Uhnak",Kojak: The Price of Justice (1987) (TV)
"The Invisible Man (1897), H. G. Wells",The Invisible Man (1933)* The Invisible Man Returns (1940)** The Invisible Woman (1940)** * Invisible Agent (1942)** ** The Invisible Man's Revenge (1944)** ** * Abbott and Costello Meet the Invisible Man (1951)
"In the Heat of the Night (1965), John Bell",In the Heat of the Night (1967)* They Call Me MISTER Tibbs! (1970)** The Organization (1971)
"In This House of Brede (1969), Rumer Godden",In This House of Brede (1975) (TV)
"The Iron Man (1968), Ted Hughes",The Iron Giant (1999)
"The Iron Trail (1913), Rex Beach",The Iron Trail (1921)
"The Island (1979), Peter Benchley",The Island (1980)
"Island in the Sky (1944), Ernest K. Gann",Island in the Sky (1953)
"The Island of Doctor Moreau (1896), H. G. Wells",Island of Lost Souls (1932)Terror Is a Man (1959)The Island of Doctor Agor (1971)The Island of Dr. Moreau (1977)The Island of Dr. Moreau (1996)
"Islands in the Stream (1970), Ernest Hemingway",Islands in the Stream (1977)
"It (1986), Stephen King",It (1990) (TV)It (2017)
"It Can't Happen Here (1935), Sinclair Lewis",Shadow of the Land (a.k.a. United States: It Can't Happen Here) (1968) (TV)
"Ivanhoe (1820), Sir Walter Scott",Ivanhoe (1913)Ivanhoe (1952)Ivanhoe (1970) (TV) (mini)Ivanhoe (1982)The Ballad of the Valiant Knight Ivanhoe (Баллада о доблестном рыцаре Айвенго) (1983)Ivanhoe (1986)Ivanhoe (1997) (TV)The Legend of Ivanhoe (1999) (TV)Darkest Knight (2000) (TV)
"Jack in the Box (1980), William Kotzwinkle",Book of Love (1990)
"Jack's Return Home (1970), Ted Lewis",Get Carter (1971)Hit Man (1972)Get Carter (2000)
"James and the Giant Peach (1961), Roald Dahl",James and the Giant Peach (1996)
"Jane Eyre (1847), Charlotte Brontë (as Currer Bell)","Jane Eyre (1915)The Castle of Thornfield (1915)Woman and Wife (1918)Jane Eyre (1921)Orphan of Lowood (1926)Jane Eyre (1934)I Walked with a Zombie (1943)Jane Eyre (1944)Sangdil (1952) (a.k.a. Jane Eyre)The Orphan Girl (1956)El Secreto (English: ""The Secret"") (1963)Jane Eyre (1970)Shanti Nilayam (1972)Ardiente Secreto (1978) (English: ""Ardent Secret"") (1978)Jane Eyre (1996)Jane Eyre (2011)"
"Jassy (1944), Norah Lofts",Jassy (1947)
"Jaws (1974), Peter Benchley",Jaws (1975–1987) (series)Jaws (1975)* Jaws 2 (1978)** Jaws 3-D (1983)** * Jaws: The Revenge (1987)
"Jean le Bleu (1932), Jean Giono",La femme du boulanger (The Baker's Wife) (1938)
"The Jewel of Seven Stars (1903), Bram Stoker",The Curse of the Mummy (1970) (TV)Blood from the Mummy's Tomb (1971)The Awakening (1980)Bram Stoker's Legend of the Mummy (1997)
"Jim Kane (1970), Joseph P. Brown",Pocket Money (1972)
"Jimmy the Kid (1967), Donald E. Westlake (as Richard Stark)",Come ti rapisco il pupo (1976)Jimmy the Kid (1982)Jimmy the Kid (1998)
"Jitter Joint (1999), Howard Swindle",D-Tox (a. k. a. Eye See You) (2002)
"Johnny Tremain (1944), Esther Forbes",Johnny Tremain (1957)
"Josepha (1981), Christopher Frank",Josepha (1982)
"Journal d'un curé de campagne (1936), Georges Bernanos",Diary of a Country Priest (1951)
"A Journey to Matecumbe (1961), Robert Lewis Taylor",Treasure of Matecumbe (1976)
"Journey to Shiloh (1960), Henry Wilson Allen",Journey to Shiloh (1963)
"Journey to the West (1590s), Wu Cheng'en","Havoc in Heaven (1961)Shaw Brothers Studio film series:Monkey Goes West (1966)* Princess Iron Fan (1966)** The Cave of the Silken Web (1967)*** The Land of Many Perfumes (1968)A Chinese Odyssey (1995)Heavenly Legend (1998)A Chinese Tall Story (2005)The Fire Ball (2005)The Adventures of Super Monkey (2007)The Forbidden Kingdom (2008)The Monkey King (2012)Journey to the West (future, TBA)"
"The Joy Luck Club (1989), Amy Tan",The Joy Luck Club (1993)
"Jude the Obscure (1895), Thomas Hardy",Jude the Obscure (1971)Jude (1996)
"A Judgement in Stone (1977), Ruth Rendell",La Cérémonie (1995)
"The Juggler (1965), Donald E. Westlake (as Richard Stark)",Made in U.S.A. (1966)
"Jumanji (1981), Chris Van Allsburg",Jumanji (1995)
"The Jungle Book (1894), Rudyard Kipling* The Second Jungle Book (1895), Rudyard Kipling",Elephant Boy (1937)Jungle Book (1942)The Jungle Book (1967)* The Jungle Book 2 (2003)Adventures of Mowgli (1967)The Jungle Book (1994)* The Second Jungle Book: Mowgli & Baloo (1997)** Jungle Book: Mowgli's Story (1998)Mowgli: The New Adventures of the Jungle Book (1998)
"Jupiter Laughs (1940), A. J. Cronin",Shining Victory (1941)Ich suche Dich (I Seek You) (1956)
"Jurassic Park (1990), Michael Crichton",Jurassic Park (1993–present) (series)Jurassic Park (1993)* The Lost World: Jurassic Park (1997)** Jurassic Park III (2001)
"The Jungle (1906), Upton Sinclair",The Jungle (1914)
"Justine (1957), Lawrence Durrell",Justine (1969)
