300,Suzanne Collins,young adult,4800000,4,yes
500,"J.K. Rowling, Mary GrandPré",fantasy,4600000,4,yes
200,Stephenie Meyer,young adult,3900000,4,yes
500,Harper Lee,young adult,3200000,4,yes
1000,F. Scott Fitzgerald,romance,2700000,4,yes
200,John Green,young adult,2300000,4,yes
1000,J.R.R. Tolkien,fantasy,2100000,4,yes
400,J.D. Salinger,young adult,2000000,4,yes
300,Dan Brown,mystery,2000000,4,yes
3000,Jane Austen,romance,2000000,4,yes
300,Khaled Hosseini,drama,1800000,4,yes
200,Veronica Roth,young adult,1900000,4,yes
1000,"George Orwell, Erich Fromm, Celâl Üster",sci-fi,2000000,4,yes
900,George Orwell,fantasy,1900000,4,yes
700,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",young adult,2000000,4,yes
300,"Stieg Larsson, Reg Keeland",mystery,1800000,4,yes
200,Suzanne Collins,young adult,1800000,4,yes
400,"J.K. Rowling, Mary GrandPré, Rufus Beck",fantasy,1800000,5,yes
600,J.R.R. Tolkien,fantasy,1800000,4,yes
200,Suzanne Collins,young adult,1700000,4,yes
300,"J.K. Rowling, Mary GrandPré",fantasy,1700000,4,yes
200,Alice Sebold,mystery,1600000,4,yes
400,"J.K. Rowling, Mary GrandPré",fantasy,1800000,4,yes
300,"J.K. Rowling, Mary GrandPré",fantasy,1800000,5,yes
300,"J.K. Rowling, Mary GrandPré",fantasy,1700000,5,yes
400,Dan Brown,thriller,1400000,4,yes
300,"J.K. Rowling, Mary GrandPré",fantasy,1700000,5,yes
500,William Golding,young adult,1600000,4,yes
2000,"William Shakespeare, Robert           Jackson",romance,1600000,4,yes
200,Gillian Flynn,mystery,500000,4,yes
200,Kathryn Stockett,drama,1500000,4,yes
400,John Steinbeck,young adult,1500000,4,yes
200,Arthur Golden,romance,1300000,4,yes
200,E.L. James,romance,1300000,4,yes
500,"Paulo Coelho, Alan R. Clarke",fantasy,1300000,4,yes
200,Lois Lowry,young adult,1300000,4,yes
500,C.S. Lewis,fantasy,1500000,4,no
200,Audrey Niffenegger,romance,700000,4,yes
100,George R.R. Martin,fantasy,1300000,4,yes
200,Elizabeth Gilbert,romance,1200000,4,yes
200,Rick Riordan,fantasy,1400000,4,yes
2000,Louisa May Alcott,young adult,1300000,4,no
3000,"Charlotte Brontë, Michael Mason",mystery,1200000,4,yes
200,Nicholas Sparks,romance,1100000,4,yes
300,Yann Martel,fantasy,1000000,4,yes
100,Sara Gruen,romance,1100000,4,no
300,Markus Zusak,young adult,1200000,4,yes
500,Ray Bradbury,sci-fi,600000,4,no
200,Stephenie Meyer,young adult,1100000,4,yes
50,Shel Silverstein,young adult,1000000,4,no
200,Cassandra Clare,young adult,1200000,4,yes
200,Stephenie Meyer,young adult,1100000,4,yes
200,Christopher Paolini,fantasy,1100000,4,yes
300,Douglas Adams,sci-fi,900000,4,yes
500,Aldous Huxley,sci-fi,1000000,4,yes
200,Stephenie Meyer,fantasy,1100000,4,yes
100,Sue Monk Kidd,young adult,900000,4,yes
2000,"Mark Twain, John Seelye, Guy Cardwell",young adult,1000000,4,yes
200,"E.B. White, Garth Williams, Rosemary Wells",young adult,1100000,4,yes
200,Mark Haddon,young adult,900000,4,no
10,Paula Hawkins,mystery,1000000,4,yes
300,Philip Pullman,fantasy,1000000,4,yes
2000,"Emily Brontë, Richard J. Dunn",romance,900000,4,yes
100,Jodi Picoult,drama,900000,4,yes
200,Kurt Vonnegut Jr.,sci-fi,800000,4,yes
400,Margaret Mitchell,romance,900000,4,yes
200,Khaled Hosseini,drama,800000,4,no
100,Stephen Chbosky,young adult,900000,4,yes
200,Veronica Roth,young adult,800000,4,yes
200,Orson Scott Card,sci-fi,800000,4,yes
3000,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",horror,800000,4,yes
300,Stephen King,fantasy,800000,4,no
200,Stephenie Meyer,sci-fi,700000,4,yes
200,John Green,young adult,800000,4,no
200,Helen Fielding,romance,700000,4,yes
2000,"Jane Austen, Tony Tanner, Ros Ballaster",drama,700000,4,yes
100,"Louis Sachar, Louis Sachar",young adult,700000,4,yes
100,Lauren Weisberger,romance,700000,4,yes
2000,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",fantasy,700000,4,yes
2000,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",fantasy,700000,4,yes
90,Jeannette Walls,drama,600000,4,yes
100,Jon Krakauer,young adult,600000,4,yes
500,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",romance,600000,4,yes
200,Michael Crichton,sci-fi,400000,4,yes
80,Shel Silverstein,young adult,700000,4,no
200,John Grisham,mystery,600000,4,no
100,"Elie Wiesel, Marion Wiesel",young adult,700000,4,no
200,John Green,young adult,500000,4,no
100,William Goldman,sci-fi,600000,4,yes
200,S.E. Hinton,young adult,700000,4,yes
100,James Dashner,young adult,700000,4,no
100,"Steven D. Levitt, Stephen J. Dubner",#N/A,500000,4,no
1000,Frances Hodgson Burnett,young adult,600000,4,yes
600,"Gabriel García Márquez, Gregory Rabassa",romance,500000,4,yes
2000,"Oscar Wilde, Jeffrey Eugenides",horror,600000,4,yes
100,E.L. James,romance,400000,4,yes
2000,"Bram Stoker, Nina Auerbach, David J. Skal",horror,600000,4,yes
200,"Stieg Larsson, Reg Keeland",mystery,600000,4,yes
100,E.L. James,romance,600000,4,yes
40,Barbara Kingsolver,drama,500000,4,no
60,David Sedaris,comedy,500000,4,no
100,Maurice Sendak,fantasy,600000,4,yes
1000,"Alexandre Dumas, Robin Buss",romance,600000,4,yes
200,Cormac McCarthy,sci-fi,500000,4,yes
200,Veronica Roth,young adult,500000,4,yes
50,Tina Fey,comedy,500000,4,no
100,Nicholas Sparks,drama,500000,4,yes
100,Sophie Kinsella,comedy,500000,4,yes
1000,"Victor Hugo, Lee Fahnestock, Norman MacAfee",romance,500000,4,yes
200,George R.R. Martin,fantasy,500000,4,yes
100,Kim Edwards,drama,500000,4,no
200,Jojo Moyes,romance,600000,4,yes
300,Joseph Heller,comedy,600000,4,no
200,"Mitch Albom, Saulius Dagys",drama,600000,4,no
100,Jeffrey Eugenides,drama,500000,4,no
2000,"Mark Twain, Guy Cardwell, John Seelye",young adult,600000,4,yes
200,Madeleine L'Engle,fantasy,600000,4,no
100,Amy Tan,drama,500000,4,yes
200,Margaret Atwood,sci-fi,600000,4,yes
90,Ann Brashares,young adult,500000,4,yes
400,"Vladimir Nabokov, Craig Raine",drama,500000,4,yes
80,"Gregory Maguire, Douglas Smith",sci-fi,500000,4,no
10,John Grisham,thriller,500000,4,yes
200,Emma Donoghue,drama,500000,4,yes
2000,"William Shakespeare, Richard Andrews, Rex Gibson",drama,500000,4,yes
200,Frank Herbert,sci-fi,500000,4,no
100,Malcolm Gladwell,#N/A,500000,4,no
200,Walter Isaacson,#N/A,600000,4,yes
300,Ken Kesey,drama,500000,4,yes
700,Ernest Hemingway,drama,500000,4,yes
400,John Steinbeck,drama,300000,4,yes
100,Mitch Albom,young adult,400000,4,no
1000,L.M. Montgomery,young adult,500000,4,yes
100,Cassandra Clare,fantasy,600000,4,yes
200,George R.R. Martin,fantasy,500000,5,yes
80,Rebecca Wells,drama,500000,4,yes
200,Diana Gabaldon,romance,500000,4,yes
2000,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",romance,500000,3,no
200,Ransom Riggs,fantasy,600000,4,no
200,"Stieg Larsson, Reg Keeland",mystery,400000,4,yes
100,Andy Weir,sci-fi,400000,4,yes
300,Ken Follett,fantasy,500000,4,no
100,Anthony Doerr,drama,500000,4,no
20,Laura Hillenbrand,#N/A,500000,4,no
200,Dan Brown,thriller,500000,4,no
100,Donna Tartt,mystery,400000,4,no
200,Jay Asher,young adult,500000,4,yes
200,Tracy Chevalier,romance,500000,4,yes
100,Gayle Forman,young adult,500000,4,yes
80,Anita Diamant,drama,400000,4,no
100,Rick Riordan,fantasy,500000,4,no
100,Nicholas Sparks,romance,400000,4,no
100,Cassandra Clare,fantasy,500000,4,no
2000,William Shakespeare,fantasy,500000,4,yes
500,J.R.R. Tolkien,fantasy,500000,4,yes
70,Emily Giffin,romance,400000,4,yes
70,"Dr. Seuss, לאה נאור",fantasy,500000,4,no
300,"Roald Dahl, Quentin Blake",young adult,500000,4,yes
90,Rick Riordan,fantasy,500000,4,yes
2000,Charles Dickens,romance,500000,4,yes
500,J.R.R. Tolkien,fantasy,500000,5,yes
700,"Albert Camus, Matthew    Ward",crime,400000,4,yes
