300,4800000,4,yes,1
500,4600000,4,yes,1
200,3900000,4,yes,1
500,3200000,4,yes,1
1000,2700000,4,yes,1
200,2300000,4,yes,1
1000,2100000,4,yes,1
400,2000000,4,yes,1
300,2000000,4,yes,1
3000,2000000,4,yes,1
300,1800000,4,yes,1
200,1900000,4,yes,1
1000,2000000,4,yes,1
900,1900000,4,yes,1
700,2000000,4,yes,1
300,1800000,4,yes,1
200,1800000,4,yes,1
400,1800000,5,yes,1
600,1800000,4,yes,1
200,1700000,4,yes,1
300,1700000,4,yes,1
200,1600000,4,yes,1
400,1800000,4,yes,1
300,1800000,5,yes,1
300,1700000,5,yes,1
400,1400000,4,yes,1
300,1700000,5,yes,1
500,1600000,4,yes,1
2000,1600000,4,yes,1
200,500000,4,yes,1
200,1500000,4,yes,1
400,1500000,4,yes,1
200,1300000,4,yes,1
200,1300000,4,yes,1
500,1300000,4,yes,1
200,1300000,4,yes,1
500,1500000,4,no,0
200,700000,4,yes,1
100,1300000,4,yes,1
200,1200000,4,yes,1
200,1400000,4,yes,1
2000,1300000,4,no,0
3000,1200000,4,yes,1
200,1100000,4,yes,1
300,1000000,4,yes,1
100,1100000,4,no,0
300,1200000,4,yes,1
500,600000,4,no,0
200,1100000,4,yes,1
50,1000000,4,no,0
200,1200000,4,yes,1
200,1100000,4,yes,1
200,1100000,4,yes,1
300,900000,4,yes,1
500,1000000,4,yes,1
200,1100000,4,yes,1
100,900000,4,yes,1
2000,1000000,4,yes,1
200,1100000,4,yes,1
200,900000,4,no,0
10,1000000,4,yes,1
300,1000000,4,yes,1
2000,900000,4,yes,1
100,900000,4,yes,1
200,800000,4,yes,1
400,900000,4,yes,1
200,800000,4,no,0
100,900000,4,yes,1
200,800000,4,yes,1
200,800000,4,yes,1
3000,800000,4,yes,1
300,800000,4,no,0
200,700000,4,yes,1
200,800000,4,no,0
200,700000,4,yes,1
2000,700000,4,yes,1
100,700000,4,yes,1
100,700000,4,yes,1
2000,700000,4,yes,1
2000,700000,4,yes,1
90,600000,4,yes,1
100,600000,4,yes,1
500,600000,4,yes,1
200,400000,4,yes,1
80,700000,4,no,0
200,600000,4,no,0
100,700000,4,no,0
200,500000,4,no,0
100,600000,4,yes,1
200,700000,4,yes,1
100,700000,4,no,0
100,500000,4,no,0
1000,600000,4,yes,1
600,500000,4,yes,1
2000,600000,4,yes,1
100,400000,4,yes,1
2000,600000,4,yes,1
200,600000,4,yes,1
100,600000,4,yes,1
40,500000,4,no,0
60,500000,4,no,0
100,600000,4,yes,1
1000,600000,4,yes,1
200,500000,4,yes,1
200,500000,4,yes,1
50,500000,4,no,0
100,500000,4,yes,1
100,500000,4,yes,1
1000,500000,4,yes,1
200,500000,4,yes,1
100,500000,4,no,0
200,600000,4,yes,1
300,600000,4,no,0
200,600000,4,no,0
100,500000,4,no,0
2000,600000,4,yes,1
200,600000,4,no,0
100,500000,4,yes,1
200,600000,4,yes,1
90,500000,4,yes,1
400,500000,4,yes,1
80,500000,4,no,0
10,500000,4,yes,1
200,500000,4,yes,1
2000,500000,4,yes,1
200,500000,4,no,0
100,500000,4,no,0
200,600000,4,yes,1
300,500000,4,yes,1
700,500000,4,yes,1
400,300000,4,yes,1
100,400000,4,no,0
1000,500000,4,yes,1
100,600000,4,yes,1
200,500000,5,yes,1
80,500000,4,yes,1
200,500000,4,yes,1
2000,500000,3,no,0
200,600000,4,no,0
200,400000,4,yes,1
100,400000,4,yes,1
300,500000,4,no,0
100,500000,4,no,0
20,500000,4,no,0
200,500000,4,no,0
100,400000,4,no,0
200,500000,4,yes,1
200,500000,4,yes,1
100,500000,4,yes,1
80,400000,4,no,0
100,500000,4,no,0
100,400000,4,no,0
100,500000,4,no,0
2000,500000,4,yes,1
500,500000,4,yes,1
70,400000,4,yes,1
70,500000,4,no,0
300,500000,4,yes,1
90,500000,4,yes,1
2000,500000,4,yes,1
500,500000,5,yes,1
700,400000,4,yes,1
70,300000,4,no,0
100,500000,4,no,0
200,400000,4,yes,1
80,500000,4,no,0
200,400000,4,no,0
200,400000,4,yes,1
100,400000,4,no,0
200,400000,4,no,0
2000,500000,4,yes,1
1000,300000,4,yes,1
300,400000,4,yes,1
100,400000,4,no,0
90,400000,5,no,0
10,300000,4,yes,1
2000,400000,4,no,0
200,400000,4,no,0
200,400000,4,no,0
1000,400000,4,no,0
200,400000,4,yes,1
100,400000,4,yes,1
100,500000,4,no,0
200,400000,4,yes,1
100,400000,4,no,0
100,400000,4,yes,1
100,400000,4,no,0
100,400000,4,yes,1
400,400000,4,yes,1
100,400000,4,yes,1
90,400000,4,yes,1
100,400000,5,yes,1
100,400000,4,no,0
2000,400000,3,yes,1
100,400000,4,yes,1
200,400000,4,yes,1
100,400000,4,no,0
200,400000,4,yes,1
100,400000,4,yes,1
500,400000,4,yes,1
200,400000,4,yes,1
90,400000,4,no,0
90,400000,4,no,0
2000,400000,4,yes,1
200,400000,4,yes,1
90,500000,4,yes,1
100,400000,4,yes,1
70,400000,4,no,0
200,400000,4,yes,1
100,200000,4,yes,1
100,300000,4,no,0
200,300000,4,yes,1
1000,400000,4,no,0
90,400000,4,no,0
100,300000,4,no,0
90,300000,4,no,0
70,300000,4,yes,1
100,200000,4,no,0
300,400000,4,yes,1
20,300000,4,no,0
70,300000,4,no,0
100,300000,4,yes,1
200,400000,4,no,0
100,400000,4,yes,1
80,300000,4,yes,1
100,300000,4,no,0
100,300000,4,no,0
80,300000,3,yes,1
800,300000,4,yes,1
1000,400000,4,yes,1
100,300000,4,yes,1
200,300000,4,yes,1
300,300000,4,yes,1
90,400000,4,yes,1
100,200000,4,no,0
100,300000,4,no,0
200,400000,4,yes,1
80,300000,4,yes,1
100,300000,4,yes,1
200,300000,4,yes,1
80,300000,4,no,0
100,300000,4,yes,1
200,300000,4,yes,1
100,200000,4,no,0
100,300000,4,yes,1
100,400000,4,no,0
300,300000,4,no,0
1000,300000,4,yes,1
100,300000,4,yes,1
100,200000,4,no,0
100,300000,4,yes,1
90,400000,4,no,0
50,300000,4,no,0
100,400000,4,no,0
100,300000,4,yes,1
70,300000,4,no,0
0,300000,4,yes,1
300,300000,4,no,0
100,300000,4,no,0
400,300000,4,no,0
60,300000,4,yes,1
100,300000,4,no,0
60,300000,4,no,0
300,300000,4,yes,1
100,300000,4,yes,1
100,300000,4,yes,1
90,300000,5,no,0
200,300000,4,yes,1
20,300000,4,yes,1
300,200000,4,yes,1
200,300000,4,yes,1
200,300000,4,yes,1
100,300000,4,yes,1
300,300000,4,yes,1
100,300000,4,no,0
200,300000,4,no,0
100,300000,4,no,0
30,300000,4,no,0
100,300000,4,no,0
100,300000,4,no,0
100,300000,4,no,0
200,300000,4,yes,1
100,300000,4,no,0
300,200000,4,yes,1
100,300000,4,no,0
100,300000,4,yes,1
200,200000,4,yes,1
100,300000,4,yes,1
200,300000,4,yes,1
20,300000,4,no,0
70,300000,4,no,0
300,300000,4,yes,1
3000,300000,4,yes,1
70,300000,4,no,0
100,300000,4,no,0
200,300000,4,no,0
200,200000,4,no,0
1000,300000,4,no,0
70,200000,4,no,0
200,300000,4,yes,1
1000,300000,3,yes,1
100,300000,4,yes,1
100,200000,4,yes,1
50,200000,4,no,0
200,300000,4,yes,1
60,300000,4,no,0
100,200000,5,no,0
90,300000,4,no,0
100,300000,4,no,0
70,200000,4,yes,1
200,300000,4,yes,1
100,300000,4,no,0
100,200000,4,no,0
